CookerStat, GenerateAssetRegistry=0.035290, Initialize=0.144817, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionIdF22947C24B762AF74B719A99C9C55101_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B16E63B34A3F2D01DA04C9B513483707_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.02-21.55.32, Duration=5.597148, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionIdF81085234BD2D713759424A741C0C2A1_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_055701AD46B7964978EB0DAA77533113_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.02-21.55.32, Duration=4.422929, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId33E4CBC9490C4EBAE33156AC6B428DB3_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D8F2BBC341C9F2A68A84BDBE7A1E41C7_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.02-21.55.32, Duration=0.886414, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId49A5E5EF4D7BA272CDD969BE1FE3CAB3_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_B690CBD44DB4671FCA57CA96307FA398_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.02-21.55.32, Duration=0.721470, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId5A4687094F4282C9CA65AEB95ADF52CE_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_B690CBD44DB4671FCA57CA96307FA398__C43D59FA4478342BF11A2E61A4182CF03FDC1B92, StartTime=2016.06.02-21.55.32, HierarchicalDDC=, DataSize=3267, Duration=6.084927, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId6071F72441556D55B8E910AA1F91AA57_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D8F2BBC341C9F2A68A84BDBE7A1E4__C179B750E82E1293985AB0C06E4749944ED47788, StartTime=2016.06.02-21.55.32, HierarchicalDDC=, DataSize=6014, Duration=5.940370, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId6071F72441556D55B8E910AA1F91AA57_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_055701AD46B7964978EB0DAA77533113__D82724AA1814FE33EB49A26C3469D24E73510E76, StartTime=2016.06.02-21.55.32, HierarchicalDDC=, DataSize=33028, Duration=25.089928, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId5A4687094F4282C9CA65AEB95ADF52CE_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_055701AD46B7964978EB0DAA77533113__C613FBF47B0B9BC6B5169F64C6440781017848A2, StartTime=2016.06.02-21.55.32, HierarchicalDDC=, DataSize=8452, Duration=7.856451, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId5A4687094F4282C9CA65AEB95ADF52CE_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_055701AD46B7964978EB0DAA77533113__A4F9BA821D84E47993132ED8CF4655736D94210B, StartTime=2016.06.02-21.55.33, HierarchicalDDC=, DataSize=3851, Duration=4.511807, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId5A4687094F4282C9CA65AEB95ADF52CE_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B16E63B34A3F2D01DA04C9B513483__62E8A900F96847C1C633AF9C8CBF7BE51C5FCC7C, StartTime=2016.06.02-21.55.33, HierarchicalDDC=, DataSize=65799, Duration=22.812328, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionIdF81085234BD2D713759424A741C0C2A1_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_FCF1B6D546E6D781F71B1BB3DF7658D5_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.02-21.55.33, Duration=1.496006, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId33E4CBC9490C4EBAE33156AC6B428DB3_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_FE379057440C2CF03CD4EE9DFF2D8FAB_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.02-21.55.33, Duration=0.181936, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId6071F72441556D55B8E910AA1F91AA57_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B16E63B34A3F2D01DA04C9B513483__831929A0B8151CA551995F706CBA1CD379512472, StartTime=2016.06.02-21.55.33, HierarchicalDDC=, DataSize=16647, Duration=22.110466, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId5A4687094F4282C9CA65AEB95ADF52CE_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B16E63B34A3F2D01DA04C9B513483__C0074D9BFBF2F6CF40F091D51B2AD6F401C57F77, StartTime=2016.06.02-21.55.33, HierarchicalDDC=, DataSize=6604, Duration=10.978378, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId5A4687094F4282C9CA65AEB95ADF52CE_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_FE379057440C2CF03CD4EE9DFF2D8FAB_0__3F3AC81E091C1314133A9DC47B6D03AE5CFC6275, StartTime=2016.06.02-21.55.33, HierarchicalDDC=, DataSize=3250, Duration=13.351131, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId6071F72441556D55B8E910AA1F91AA57_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_FCF1B6D546E6D781F71B1BB3DF7658D5_0__A5D47A1963D8C458A0EC341C6AE1227100E2078E, StartTime=2016.06.02-21.55.33, HierarchicalDDC=, DataSize=33026, Duration=12.832768, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId5A4687094F4282C9CA65AEB95ADF52CE_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_FCF1B6D546E6D781F71B1BB3DF7658D5_0__868F8981BE9E79E3CADC4F9FA602EB020ABEF502, StartTime=2016.06.02-21.55.33, HierarchicalDDC=, DataSize=8449, Duration=7.327896, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
DDCTransactionId6071F72441556D55B8E910AA1F91AA57_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_FCF1B6D546E6D781F71B1BB3DF7658D5_0__6DB2850C767A3E38A96E4B02E8C3436B8CCDD810, StartTime=2016.06.02-21.55.33, HierarchicalDDC=, DataSize=3829, Duration=7.182814, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
SavePackageTransactionIdD4D0C9F941AB6DD0A9D9D39C96602DD6_0, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Content/Levels/Battle01.umap, AutoPackageBackupDelegate=43.138458, FlushAsyncLoading=0.013594, FlushStreamingFunc=0.088613, BlockTillAllRequestsFinished=0.005752, ResetLoadersForSaveUnMarkAllObjects=56.282822, TagPackageExports=1.787733, BeginCacheForCookedPlatformData=0.002090, SerializeImports=3.265440, GatherLocalizableTextData=12.395963, MarkNames=0.083387, SerializeSummary=0.021435, SerializeNames=0.454057, SerializeGatherableTextData=0.054896, BuildExportMap=0.304271, SortExportsNonSeekfree=0.358906, SortExportsSeekfreeConstructor=0.074238, SortExportsSeekfreeInner=20.157787, SortExportsSeekfree=0.005230, BuildDependencyMap=0.094626, SerializeImportMap=0.057507, SerializeExportMap=0.065614, SerializeDependencyMap=0.007056, SerializeStringAssetReferenceMap=0.002094, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.113050, SerializeExports=5.787972, SerializeBulkData=9.375986, MoveFile=5.206875, UnaccountedTime=14.444054, RunGuid=RunID80658F4C490DB273410C2A9163CEFA57
