CookerStat, GenerateAssetRegistry=0.038166, Initialize=0.193700, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId310839C342E7F4ECE0DF30BB2769FEFC_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_693DA69C4F773D927FA37AB0D68E2B90_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-22.58.07, Duration=96.948280, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_693DA69C4F773D927FA37AB0D68E2__ACAB126929D438E9B256384658CEC3A30397C940, StartTime=2016.06.12-22.58.07, HierarchicalDDC=, DataSize=262407, Duration=8.468929, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_693DA69C4F773D927FA37AB0D68E2__9770192AB4DA9E19C431FAD76647BA85362F4011, StartTime=2016.06.12-22.58.07, HierarchicalDDC=, DataSize=65799, Duration=8.017484, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId310839C342E7F4ECE0DF30BB2769FEFC_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8B345321473BD99272C64DA9B7998EFE_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-22.58.07, Duration=0.749700, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_693DA69C4F773D927FA37AB0D68E2__7445B58405F1ED81119A75FD83B21EB19FE264FA, StartTime=2016.06.12-22.58.07, HierarchicalDDC=, DataSize=16647, Duration=29.519171, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_693DA69C4F773D927FA37AB0D68E2__F9C4388595D39AB4868F59FAF9704CEE887A21FA, StartTime=2016.06.12-22.58.07, HierarchicalDDC=, DataSize=6899, Duration=6.422929, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8B345321473BD99272C64DA9B7998__695E5D05D27967CBC0EA1F1F8AC71201A8121107, StartTime=2016.06.12-22.58.07, HierarchicalDDC=, DataSize=6014, Duration=5.612839, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_2, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__44D9E46F300DD9E96F88C815ACF3D7B081B97E5F, StartTime=2016.06.12-22.58.10, HierarchicalDDC=, DataSize=374, Duration=5.413912, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_3, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__1F913DB0139D5E3CFEB9566E7E40F91F177DE6A5, StartTime=2016.06.12-22.58.10, HierarchicalDDC=, DataSize=2166, Duration=5.362675, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_3, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__9F1EF42D8FFBFFD83EE3A08CB7034C0667535BBF, StartTime=2016.06.12-22.58.10, HierarchicalDDC=, DataSize=221559, Duration=5.929921, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_4, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__6CD033975FE14C1ACF83B9F9AD8D40AC7EB558FB, StartTime=2016.06.12-22.58.10, HierarchicalDDC=, DataSize=1670, Duration=10.445654, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_4, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__E2133801DFD80F900E5AE806D064E0BD975BD681, StartTime=2016.06.12-22.58.10, HierarchicalDDC=, DataSize=110118, Duration=5.287394, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
