CookerStat, GenerateAssetRegistry=0.053588, Initialize=0.240754, RunGuid=RunID60247F3D49B3931C9E682599068E3B28
SavePackageTransactionIdEC6BB30D405876B772905AB23BF7BB6A_0, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Content/HUD/ActionMenuBP.uasset, AutoPackageBackupDelegate=2842.016846, FlushAsyncLoading=0.012808, FlushStreamingFunc=0.101686, BlockTillAllRequestsFinished=0.082605, ResetLoadersForSaveUnMarkAllObjects=25.877335, TagPackageExports=61.293526, BeginCacheForCookedPlatformData=0.007316, SerializeImports=66.247116, GatherLocalizableTextData=68.648102, MarkNames=0.387661, RunGuid=RunID60247F3D49B3931C9E682599068E3B28
SavePackageTransactionIdEC6BB30D405876B772905AB23BF7BB6A_1, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Content/HUD/ActionMenuBP.uasset, AutoPackageBackupDelegate=74.136261, FlushAsyncLoading=0.005491, FlushStreamingFunc=0.090186, BlockTillAllRequestsFinished=0.010192, ResetLoadersForSaveUnMarkAllObjects=0.294339, TagPackageExports=61.615574, BeginCacheForCookedPlatformData=0.008363, SerializeImports=63.998787, GatherLocalizableTextData=46.657570, MarkNames=0.395764, RunGuid=RunID60247F3D49B3931C9E682599068E3B28
SavePackageTransactionIdEC6BB30D405876B772905AB23BF7BB6A_2, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Saved/Autosaves/Game/HUD/ActionMenuBP_Auto1.uasset, AutoPackageBackupDelegate=70.725998, FlushAsyncLoading=0.006009, FlushStreamingFunc=0.141419, BlockTillAllRequestsFinished=0.010457, ResetLoadersForSaveUnMarkAllObjects=0.276826, TagPackageExports=62.415726, BeginCacheForCookedPlatformData=0.006538, SerializeImports=73.380020, GatherLocalizableTextData=51.951767, MarkNames=0.549208, RunGuid=RunID60247F3D49B3931C9E682599068E3B28
SavePackageTransactionIdEC6BB30D405876B772905AB23BF7BB6A_3, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Content/HUD/ActionMenuBP.uasset, AutoPackageBackupDelegate=743.205994, FlushAsyncLoading=0.014901, FlushStreamingFunc=0.121813, BlockTillAllRequestsFinished=0.007059, ResetLoadersForSaveUnMarkAllObjects=1.414191, TagPackageExports=57.712044, BeginCacheForCookedPlatformData=0.007842, SerializeImports=62.144390, GatherLocalizableTextData=45.444920, MarkNames=1.346227, RunGuid=RunID60247F3D49B3931C9E682599068E3B28
SavePackageTransactionIdEC6BB30D405876B772905AB23BF7BB6A_4, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Content/HUD/ActionMenuBP.uasset, AutoPackageBackupDelegate=79.264206, FlushAsyncLoading=0.006534, FlushStreamingFunc=0.104561, BlockTillAllRequestsFinished=0.009671, ResetLoadersForSaveUnMarkAllObjects=0.265848, TagPackageExports=59.071602, BeginCacheForCookedPlatformData=0.006538, SerializeImports=65.071060, GatherLocalizableTextData=51.644882, MarkNames=0.375636, RunGuid=RunID60247F3D49B3931C9E682599068E3B28
SavePackageTransactionIdEC6BB30D405876B772905AB23BF7BB6A_5, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Content/HUD/ActionMenuBP.uasset, AutoPackageBackupDelegate=71.664436, FlushAsyncLoading=0.007320, FlushStreamingFunc=0.153180, BlockTillAllRequestsFinished=0.007059, ResetLoadersForSaveUnMarkAllObjects=0.276562, TagPackageExports=61.290390, BeginCacheForCookedPlatformData=0.006538, SerializeImports=72.530724, GatherLocalizableTextData=52.426998, MarkNames=0.484902, RunGuid=RunID60247F3D49B3931C9E682599068E3B28
SavePackageTransactionIdEC6BB30D405876B772905AB23BF7BB6A_6, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Content/HUD/ActionMenuBP.uasset, AutoPackageBackupDelegate=73.768990, FlushAsyncLoading=0.014637, FlushStreamingFunc=0.098027, BlockTillAllRequestsFinished=0.010718, ResetLoadersForSaveUnMarkAllObjects=0.282314, TagPackageExports=61.574535, BeginCacheForCookedPlatformData=0.008103, SerializeImports=64.934875, GatherLocalizableTextData=55.267666, MarkNames=0.409618, SerializeSummary=38.837177, SerializeNames=17.052889, SerializeGatherableTextData=0.459284, BuildExportMap=8.715178, SortExportsNonSeekfree=9.253930, SortExportsSeekfreeConstructor=12.842208, SortExportsSeekfreeInner=70.091049, SortExportsSeekfree=0.010718, BuildDependencyMap=1.381256, SerializeImportMap=0.115018, SerializeExportMap=0.330150, SerializeDependencyMap=0.117108, SerializeStringAssetReferenceMap=0.002615, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.897772, SerializeExports=94.575882, SerializeBulkData=0.249639, MoveFile=6.021682, UnaccountedTime=17.975643, RunGuid=RunID60247F3D49B3931C9E682599068E3B28
SavePackageTransactionIdEC6BB30D405876B772905AB23BF7BB6A_7, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Content/Levels/Battle01.umap, AutoPackageBackupDelegate=107.332619, FlushAsyncLoading=0.012811, FlushStreamingFunc=0.088878, BlockTillAllRequestsFinished=0.010453, ResetLoadersForSaveUnMarkAllObjects=101.132919, TagPackageExports=1.935165, BeginCacheForCookedPlatformData=0.001568, SerializeImports=13.091590, GatherLocalizableTextData=13.078779, MarkNames=0.088092, SerializeSummary=0.018559, SerializeNames=0.546072, SerializeGatherableTextData=0.027183, BuildExportMap=0.384264, SortExportsNonSeekfree=0.362303, SortExportsSeekfreeConstructor=0.067443, SortExportsSeekfreeInner=37.535648, SortExportsSeekfree=0.007059, BuildDependencyMap=0.115801, SerializeImportMap=0.057250, SerializeExportMap=0.045743, SerializeDependencyMap=0.014115, SerializeStringAssetReferenceMap=0.002351, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.368709, SerializeExports=7.615715, SerializeBulkData=56.339939, MoveFile=4.901309, UnaccountedTime=0.205986, RunGuid=RunID60247F3D49B3931C9E682599068E3B28
SavePackageTransactionIdEC6BB30D405876B772905AB23BF7BB6A_8, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Content/HUD/ActionMenuBP.uasset, AutoPackageBackupDelegate=79.386017, FlushAsyncLoading=0.005752, FlushStreamingFunc=0.123903, BlockTillAllRequestsFinished=0.015423, ResetLoadersForSaveUnMarkAllObjects=0.387661, TagPackageExports=59.132248, BeginCacheForCookedPlatformData=0.007581, SerializeImports=72.682594, GatherLocalizableTextData=51.592339, MarkNames=0.404391, SerializeSummary=0.023786, SerializeNames=0.648804, SerializeGatherableTextData=0.460591, BuildExportMap=0.976339, SortExportsNonSeekfree=10.344766, SortExportsSeekfreeConstructor=0.083908, SortExportsSeekfreeInner=71.678551, SortExportsSeekfree=0.010457, BuildDependencyMap=1.474053, SerializeImportMap=0.079729, SerializeExportMap=0.483859, SerializeDependencyMap=0.071887, SerializeStringAssetReferenceMap=0.003658, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.057493, SerializeExports=96.689590, SerializeBulkData=0.014897, MoveFile=6.325953, UnaccountedTime=2.400465, RunGuid=RunID60247F3D49B3931C9E682599068E3B28
SavePackageTransactionIdEC6BB30D405876B772905AB23BF7BB6A_9, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Content/Blueprints/SignalsBattleModeBP.uasset, AutoPackageBackupDelegate=77.930527, FlushAsyncLoading=0.017777, FlushStreamingFunc=0.082605, BlockTillAllRequestsFinished=0.004705, ResetLoadersForSaveUnMarkAllObjects=0.272382, TagPackageExports=39.992836, BeginCacheForCookedPlatformData=0.006277, SerializeImports=39.870762, GatherLocalizableTextData=30.988026, MarkNames=0.251208, SerializeSummary=0.018034, SerializeNames=0.467390, SerializeGatherableTextData=0.168346, BuildExportMap=0.571687, SortExportsNonSeekfree=6.179307, SortExportsSeekfreeConstructor=0.071101, SortExportsSeekfreeInner=58.260727, SortExportsSeekfree=0.010982, BuildDependencyMap=0.356290, SerializeImportMap=0.058029, SerializeExportMap=0.236049, SerializeDependencyMap=0.051498, SerializeStringAssetReferenceMap=0.002876, SaveThumbNailsAssetRegistryDataWorldLevelInfo=24.971048, SerializeExports=58.380974, SerializeBulkData=0.012811, MoveFile=15.283190, UnaccountedTime=2.117366, RunGuid=RunID60247F3D49B3931C9E682599068E3B28
