CookerStat, GenerateAssetRegistry=162.235107, Initialize=233.567032, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId1FBE61FC46263E7C040A50A2BAACEE35_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49C3324240C35A491511CA8332707614_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.02-15.15.04, Duration=3757.104980, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId1C6D86A34E503B99F38FDEB36C81FC76_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49C3324240C35A491511CA8332707__EBB7B90F6ABAEFAE116421FD9913E61E763597A6, StartTime=2016.07.02-15.15.08, HierarchicalDDC=, DataSize=4194569, Duration=34.166161, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId19EEBE2141020CEBDE52FBAF46BA5EF8_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49C3324240C35A491511CA8332707__A4D47AF8F7FC1C98F4CF38045E8239C285CFB3E6, StartTime=2016.07.02-15.15.08, HierarchicalDDC=, DataSize=1048841, Duration=105.643692, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId1C6D86A34E503B99F38FDEB36C81FC76_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49C3324240C35A491511CA8332707__9E9A616DD67CD640213EB33C912C4FB78FE4871D, StartTime=2016.07.02-15.15.08, HierarchicalDDC=, DataSize=262407, Duration=36.905148, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId1C6D86A34E503B99F38FDEB36C81FC76_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49C3324240C35A491511CA8332707__7C1C421FD2CFA65D82A7759EAF7D55CB1E7079B9, StartTime=2016.07.02-15.15.08, HierarchicalDDC=, DataSize=65799, Duration=67.924538, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId19EEBE2141020CEBDE52FBAF46BA5EF8_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49C3324240C35A491511CA8332707__0392C50C81E8F6C425E09A4D531DA0F1014EAA0B, StartTime=2016.07.02-15.15.08, HierarchicalDDC=, DataSize=16647, Duration=33.058075, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId1FBE61FC46263E7C040A50A2BAACEE35_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E28B7A2040AC46A25B5F0A8EB8F14851_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.02-15.15.08, Duration=2373.186768, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId1C6D86A34E503B99F38FDEB36C81FC76_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49C3324240C35A491511CA8332707__E1C57B48DE85233C32127FCE0D5864485FAE4713, StartTime=2016.07.02-15.15.08, HierarchicalDDC=, DataSize=7493, Duration=7.483970, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId19EEBE2141020CEBDE52FBAF46BA5EF8_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E28B7A2040AC46A25B5F0A8EB8F14__FCAFE8FBD31DB4D2E008D4E93F8CE51E5F20B8B7, StartTime=2016.07.02-15.15.11, HierarchicalDDC=, DataSize=2097417, Duration=40.974930, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId1C6D86A34E503B99F38FDEB36C81FC76_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E28B7A2040AC46A25B5F0A8EB8F14__C9ED2B721EE8DC249EC590E0A3B15B6B31CEBD89, StartTime=2016.07.02-15.15.11, HierarchicalDDC=, DataSize=524553, Duration=65.470222, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId19EEBE2141020CEBDE52FBAF46BA5EF8_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E28B7A2040AC46A25B5F0A8EB8F14__10FA3C987454FB26F6E6F2EA7D041A6CA2F518F0, StartTime=2016.07.02-15.15.11, HierarchicalDDC=, DataSize=131335, Duration=6.084938, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId19EEBE2141020CEBDE52FBAF46BA5EF8_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E28B7A2040AC46A25B5F0A8EB8F14__5612A6013D7E2AABB70AB66C03462149BD706D3B, StartTime=2016.07.02-15.15.11, HierarchicalDDC=, DataSize=33031, Duration=58.016842, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId1C6D86A34E503B99F38FDEB36C81FC76_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E28B7A2040AC46A25B5F0A8EB8F14__5A934797CDBF3EE65225DA3CD40CD0792E2623DF, StartTime=2016.07.02-15.15.11, HierarchicalDDC=, DataSize=8455, Duration=5.656239, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
DDCTransactionId1C6D86A34E503B99F38FDEB36C81FC76_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E28B7A2040AC46A25B5F0A8EB8F14__6B328F78C5FDC1B09A0BDAD1DC7BD6B9F2EE7091, StartTime=2016.07.02-15.15.11, HierarchicalDDC=, DataSize=4749, Duration=12.490623, RunGuid=RunID1570E0B947F83FFCD3FD6F860A7E1919
